transDe,randomVAE,sourceVAE,random,gradient_steps
555.7635877051391,559.7654781679623,748.0675723080524,564.6611254945398,1
489.5271293479018,535.3175615203567,710.725839907676,559.5412651855498,5
459.78001508219165,524.2324052704498,659.3836869272403,569.5738041499629,10
417.75705659072844,470.7943002234213,602.2931079860776,581.382935176231,20
366.5273577004671,407.41379675157367,519.0518721293658,585.4490891230292,40
309.38841797336937,414.5723230881616,453.44519269280136,568.4975760164671,66
255.15922550819815,398.9475548647344,427.264156551566,572.710590371769,100
254.7038066437468,371.01666843546553,421.36729203909636,582.4743092921562,125
246.17514745434747,365.8858279865235,380.11464545689523,575.2074703850783,166
217.45931768734008,318.02441124487666,388.3669415335171,559.7443966652266,200
